Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	AverageAdvEpRet	StdAdvEpRet	MaxAdvEpRet	MinAdvEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	AdvEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
26	592.96643	65.13044	655.8135	484.2725	548.5007	80.47821	708.63214	455.0452	616.2565	118.81211	787.0828	423.6176	278.55768	143.10834	442.06445	4.1995506	586.27405	125.81506	772.8677	447.6382	1000.0	1000.0	1000.0	810.1	1000.0	103999	136.1504	6.891561	155.56464	-64.488525	136.15045	6.879591	154.44664	-78.015144	-4.8434267	1.2911576	31.008099	-13.069187	-136.98091	6.4095917	3764.310516357422
27	528.5667	88.78951	646.33	396.27942	468.0876	92.61751	700.87415	359.73462	480.61792	41.644646	537.26025	398.51666	383.59308	36.228622	431.44418	287.9076	490.7248	84.89048	634.2447	367.58078	1000.0	1000.0	1000.0	1000.0	1000.0	107999	136.5373	7.0170107	156.34982	-59.495888	136.53786	6.981954	156.11668	-60.64081	-4.819775	1.3308547	34.945564	-13.634035	-137.3861	5.3444533	3918.9418470859528
28	574.874	58.356285	670.6617	518.34534	624.7312	85.19567	801.9514	532.1	677.56995	95.355774	803.2327	523.12103	217.32881	51.019806	297.87396	123.9863	628.62866	83.965485	764.53906	506.92245	1000.0	1000.0	1000.0	1000.0	1000.0	111999	137.21158	6.9679747	157.10072	-75.94147	137.21167	6.965095	157.36057	-66.93906	-4.855271	1.3130895	35.98535	-12.641908	-138.06956	4.836903	4074.122395515442
29	483.65802	74.840675	538.4902	356.55606	657.6498	68.17828	739.5267	525.7453	677.77893	73.47068	761.78204	530.45844	267.28207	122.36618	439.72504	97.44808	694.08075	27.010162	774.18665	680.1614	1000.0	1000.0	1000.0	664.4	1000.0	115999	137.83224	7.0135703	156.91022	-69.21762	137.83246	6.998911	156.84305	-60.8081	-4.8724146	1.2659642	26.632164	-13.915552	-138.67538	5.274595	4224.440189361572
30	557.5707	35.108173	611.43616	513.3002	562.0918	141.1815	855.9766	395.84668	543.0297	87.843285	671.31915	400.79654	319.55396	66.71377	439.3184	194.51547	566.5646	77.282166	772.8459	481.04672	1000.0	1000.0	1000.0	1000.0	1000.0	119999	138.18732	7.2271204	157.21774	-44.289486	138.18616	7.2156134	158.16872	-78.31045	-4.867203	1.2534244	28.535753	-13.008272	-139.03485	4.7942877	4375.486197948456
31	568.034	138.16719	672.7588	330.47897	513.96814	29.301573	559.66327	488.5341	535.54034	29.29107	589.4606	492.23282	114.41028	84.87682	243.68135	42.265015	532.99133	29.686361	586.5762	491.49466	1000.0	1000.0	1000.0	395.8	1000.0	123999	138.69914	7.274051	157.5666	-72.99806	138.69785	7.243803	156.75783	-86.36298	-4.890185	1.2244326	21.79424	-13.485166	-139.53656	4.5294843	4518.5368320941925
32	561.9069	36.011963	609.226	510.0504	478.46548	54.20119	575.6448	400.9692	511.2919	85.73457	678.3768	398.6209	346.28958	46.325214	377.31992	215.31459	458.22324	44.569214	526.7464	400.82123	1000.0	1000.0	1000.0	969.1	1000.0	127999	139.10806	7.4361143	154.92682	-59.085278	139.10905	7.434872	154.83694	-78.30852	-4.8638573	1.2420803	32.226685	-12.494153	-139.94609	4.5471582	4672.097021818161
33	561.09204	54.3059	641.46344	496.6038	534.9918	40.370438	638.9947	505.52994	545.66205	58.96077	690.58514	490.80936	356.00427	16.620369	393.31354	341.45877	530.16296	42.51223	630.24615	483.61118	1000.0	1000.0	1000.0	1000.0	1000.0	131999	139.52277	7.5900297	154.82259	-70.80946	139.5212	7.562255	155.54944	-62.225246	-4.888988	1.2235999	29.797194	-13.44578	-140.35757	4.3147297	4824.062632083893
34	649.99426	34.600677	694.3426	609.13806	637.91724	77.30106	746.6646	461.89835	654.5997	107.62688	896.0426	496.5	440.28564	21.361256	462.5311	394.8325	626.55505	87.227776	782.76404	440.2642	1000.0	1000.0	1000.0	1000.0	1000.0	135999	140.06732	7.7184706	156.58498	-67.49786	140.06862	7.709916	157.07326	-119.82398	-4.8612685	1.2599306	27.516579	-13.908165	-140.90677	4.4725537	4975.5173053741455
35	573.91205	79.55408	711.3595	519.881	711.7363	58.858253	792.615	582.3227	656.9283	54.647285	746.70764	561.87225	416.74933	23.837812	446.18573	354.8531	696.86707	73.149445	792.83966	545.89655	1000.0	1000.0	1000.0	1000.0	1000.0	139999	140.51215	7.8839693	158.09473	-68.28384	140.51239	7.8642044	157.6724	-72.05969	-4.895994	1.2255161	34.336647	-14.716931	-141.3512	4.0444326	5128.343195199966
36	575.36395	64.136185	658.9508	503.6082	705.09595	54.562584	789.82196	637.38	663.27625	59.361195	754.8736	546.92346	352.54123	38.682854	439.5558	305.12415	734.0033	48.887028	799.4871	651.9441	1000.0	1000.0	1000.0	1000.0	1000.0	143999	140.84283	8.088168	158.6552	-98.72971	140.84344	8.095565	158.15724	-90.52413	-4.872097	1.2393699	25.120687	-13.249086	-141.6666	4.4691105	5277.627768278122
37	603.0028	29.736715	636.78644	564.0159	608.4269	39.97984	684.11884	555.1686	595.78455	64.62519	689.7853	459.27905	233.52351	13.639222	255.67776	201.88568	611.3861	54.855946	698.6678	531.74023	1000.0	1000.0	1000.0	995.5	1000.0	147999	141.08487	8.025595	157.88913	-67.95093	141.08533	8.008177	156.93724	-85.37231	-4.922733	1.2035848	31.598488	-13.064353	-141.93034	3.240942	5427.0149738788605
38	601.5076	23.450949	636.57935	575.1597	644.214	67.65215	783.41327	545.2826	637.0556	32.74919	704.6101	593.6558	409.46387	24.18237	433.52225	343.35263	671.038	71.00591	791.4436	564.13995	1000.0	1000.0	1000.0	1000.0	1000.0	151999	141.45721	8.243763	159.15419	-99.787056	141.45706	8.23258	158.44597	-63.32839	-4.924079	1.1993498	32.02883	-14.397524	-142.30254	4.3228326	5578.317028045654
39	596.885	42.020386	666.4303	555.2241	695.07947	46.71894	777.77527	631.1759	650.41425	49.390434	748.0688	568.3947	446.6854	14.55537	460.98245	416.7008	683.69794	57.350246	782.715	585.4216	1000.0	1000.0	1000.0	1000.0	1000.0	155999	141.8381	8.362327	160.57085	-59.367542	141.83682	8.357097	159.14763	-116.197	-4.916095	1.2200104	23.199938	-14.928946	-142.68213	3.749209	5730.642607688904
40	622.06506	72.378494	721.03467	545.1958	729.40247	51.113846	783.11	649.58966	743.3747	87.85586	891.1715	569.7361	407.87314	34.993042	499.5614	369.34158	750.638	60.686344	868.40027	629.6134	1000.0	1000.0	1000.0	1000.0	1000.0	159999	142.31577	8.344118	160.11034	-68.116585	142.3171	8.32234	159.49255	-51.785194	-4.904251	1.2298088	20.304075	-13.241148	-143.15906	3.5616426	5887.506151199341
41	619.1681	48.320507	669.82495	561.1885	789.15076	45.903843	861.5747	704.4459	734.35	91.705	876.17584	602.0256	364.04996	26.943228	428.37888	318.93747	756.81287	54.441772	803.3087	629.2501	1000.0	1000.0	1000.0	1000.0	1000.0	163999	142.7309	8.388151	160.93637	-44.29776	142.73196	8.383883	161.80844	-63.0046	-4.904099	1.2383965	21.760887	-17.91658	-143.56885	4.064814	6040.066715717316
42	654.9312	24.48577	690.49445	623.1184	734.07367	61.993294	808.604	623.1234	715.0949	82.448616	877.5196	569.17175	361.4742	20.173801	418.57367	343.86957	732.64594	53.781746	807.129	663.42523	1000.0	1000.0	1000.0	1000.0	1000.0	167999	143.0715	8.405693	162.52817	-105.96015	143.07217	8.394045	162.36404	-135.8795	-4.912249	1.2234713	30.807604	-13.526499	-143.91855	4.313826	6192.774302005768
43	654.7129	31.190706	678.72284	601.19135	773.9878	37.87709	825.0545	717.2817	743.26154	82.20258	850.17377	595.6688	6.729477	5.0864396	20.244959	3.606737	786.07074	16.71476	809.8629	762.8114	1000.0	1000.0	1000.0	26.4	1000.0	171999	143.49829	8.326026	162.9065	-97.20408	143.49876	8.328714	162.82385	-69.14268	-4.921917	1.2086134	27.05592	-16.815521	-144.34488	3.2569468	6327.182981491089
44	622.2943	52.04926	707.6323	576.3988	663.6027	92.808556	795.76556	521.8889	586.2785	51.00688	670.5952	507.13458	357.4062	38.172268	437.3819	288.06284	622.08496	61.21444	737.38367	535.4119	1000.0	1000.0	1000.0	1000.0	1000.0	175999	144.06987	8.412008	163.17213	-69.19311	144.06935	8.368858	163.30803	-71.62286	-4.8951507	1.2416238	19.691433	-13.607213	-144.91803	3.6823027	6477.444833993912
45	617.01385	53.799553	681.5493	534.67236	806.3702	47.16188	878.89325	699.2246	741.8146	77.84942	886.3142	635.55914	100.46422	105.255424	289.22766	2.94705	795.9206	36.711903	885.3393	726.03143	1000.0	1000.0	1000.0	235.0	1000.0	179999	144.33495	8.536081	163.78912	-75.15625	144.33592	8.545492	163.07639	-99.16296	-4.918462	1.2268711	30.652596	-13.054386	-145.16531	4.213033	6618.919427871704
46	661.4074	23.27216	689.3724	628.3671	702.6841	92.61242	814.4533	507.19525	717.0875	46.342617	774.6628	597.85944	1.5935992	0.5828522	2.913632	0.63511676	710.8192	72.046906	821.82666	534.2169	1000.0	1000.0	1000.0	20.0	1000.0	183999	144.75342	8.675767	164.53906	-73.59158	144.754	8.664481	164.08752	-44.703075	-4.8957267	1.2470559	21.5916	-13.034819	-145.58717	3.5437984	6755.617966175079
47	650.9651	18.854715	677.1273	625.45483	685.63086	99.48263	770.71936	492.54144	680.16785	101.13165	767.5797	406.26443	294.8359	23.13715	328.05707	254.79211	706.3417	70.35626	790.86334	527.0523	1000.0	1000.0	962.9	1000.0	1000.0	187999	145.10553	8.768129	163.32535	-84.89856	145.10571	8.746459	163.79807	-44.106625	-4.9050794	1.2387248	22.729017	-14.093098	-145.95744	3.2192233	6908.626318216324
