Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	AverageAdvEpRet	StdAdvEpRet	MaxAdvEpRet	MinAdvEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	AdvEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
24	516.93933	46.708126	585.63745	461.662	693.2668	61.30535	776.41345	522.7243	684.09766	66.80121	771.56946	523.3374	253.25693	4.4780707	266.27127	249.93083	650.7279	93.51687	744.256	512.80414	1000.0	1000.0	1000.0	1000.0	1000.0	95999	137.036	7.1637034	154.57835	-75.74913	137.03622	7.135086	154.4316	-32.66379	-4.928767	1.2044879	17.838236	-13.898084	-137.91269	3.1299946	3115.013281583786
25	570.5975	110.767204	759.2008	474.9437	773.13495	40.17725	804.04626	696.5417	737.1252	37.92179	790.79504	696.34784	233.25278	38.171288	257.3781	156.85042	727.5483	52.50888	807.17017	628.2065	1000.0	1000.0	1000.0	1000.0	1000.0	99999	137.66608	6.982702	154.97812	-44.75233	137.66609	6.960769	155.26578	1.4466755	-4.943023	1.1928741	16.898062	-12.7439995	-138.54033	3.1452978	3244.6604282855988
26	640.10736	58.97632	700.98114	554.0722	635.89435	139.52568	801.78467	299.9924	684.619	103.18078	808.6383	506.68845	314.34222	38.029366	362.46088	251.67796	708.5559	37.23043	796.0094	657.46936	1000.0	1000.0	1000.0	1000.0	1000.0	103999	138.31429	7.0575647	156.07906	-67.12267	138.31403	7.0418468	158.87506	-45.949074	-4.9344835	1.2092743	25.66944	-14.043918	-139.17964	3.9204438	3374.737832069397
27	581.7264	85.98393	668.7779	464.85852	866.08514	40.172607	897.62054	789.9689	860.32776	43.03226	895.69666	791.79395	204.8807	157.88457	362.43726	19.96952	859.5294	39.331078	895.4117	799.48773	1000.0	1000.0	1000.0	641.9	1000.0	107999	138.9779	7.0159264	155.97661	-56.050747	138.97827	6.988396	159.632	-39.26583	-4.942882	1.2023517	18.601938	-15.373447	-139.85678	2.961104	3497.9442467689514
28	688.32336	65.85424	753.1663	606.51245	784.2705	56.949528	893.9608	685.5176	784.8878	89.528366	990.22833	618.18207	310.55096	77.11717	353.59216	154.4149	794.5621	46.73795	895.8687	695.10144	1000.0	1000.0	1000.0	1000.0	1000.0	111999	139.71983	6.9752636	156.6564	-63.402794	139.71982	6.9620647	161.15576	-26.56565	-4.9652696	1.1839072	18.926773	-15.1812105	-140.5964	2.8407755	3626.971435546875
29	681.3322	33.67155	716.33105	637.52637	779.2196	64.1979	898.9125	658.0142	775.584	57.656273	806.42236	619.84076	140.14194	84.28542	261.1882	21.335295	806.1323	36.065964	899.79425	742.0338	1000.0	1000.0	1000.0	736.8	1000.0	115999	140.2976	7.0773773	156.60997	-74.848495	140.29758	7.0740156	158.12846	-39.707832	-4.9566216	1.1905013	18.570772	-14.711205	-141.16913	3.0949354	3752.2289106845856
30	656.8548	57.36428	702.8761	560.517	762.05585	50.70044	791.82117	636.1669	762.04486	71.18556	812.60516	557.4443	254.76425	62.146984	338.9801	164.82031	799.0856	28.606535	884.6408	786.8368	1000.0	1000.0	1000.0	1000.0	1000.0	119999	140.92331	7.2469354	158.0123	-89.50323	140.9233	7.2323637	158.3226	-37.971325	-4.9615674	1.1588142	21.273148	-12.158797	-141.80672	3.2249405	3881.8815503120422
31	662.5143	36.576843	705.41534	608.32983	668.4901	78.86328	793.7569	595.7692	692.583	80.39646	798.6303	550.4793	191.19266	101.13135	308.98972	14.374171	670.52747	89.21605	795.68036	496.52542	1000.0	1000.0	1000.0	816.7	1000.0	123999	141.69835	7.319276	158.89267	-95.12816	141.69823	7.3203115	162.10237	-48.373043	-4.9549675	1.1666813	19.969536	-12.736524	-142.58391	2.2644818	4009.1103370189667
32	620.2928	74.902306	711.22406	505.30368	711.22125	106.73144	889.00653	521.59845	754.99664	32.900723	800.0137	711.83044	371.80627	25.14838	444.86304	351.31784	690.3772	58.930748	770.96625	593.49756	1000.0	1000.0	1000.0	1000.0	1000.0	127999	142.47313	7.5725665	161.1433	-110.88406	142.4733	7.5527496	161.93852	-57.921314	-4.9568467	1.1693746	19.282717	-12.705872	-143.3569	2.9845345	4138.654900074005
33	675.0225	18.081203	704.87787	656.17365	814.6697	41.210915	894.61755	769.38416	797.17004	39.496883	891.29865	734.448	384.72574	58.867336	471.53186	275.92477	852.2301	48.038597	909.82697	785.7613	1000.0	1000.0	1000.0	1000.0	1000.0	131999	143.18752	7.6937633	161.47514	-70.53478	143.18735	7.6968083	161.88832	-35.478302	-4.9557834	1.1736935	24.584288	-14.578884	-144.096	2.8197753	4268.448327302933
