Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	AverageAdvEpRet	StdAdvEpRet	MaxAdvEpRet	MinAdvEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	AdvEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
23	-64.96408	39.22035	20.369062	-276.18314	1633.1473	83.82089	1745.1233	1457.8401	-45.603497	24.168905	-17.474028	-99.747345	1484.4784	52.043163	1544.4401	1428.46	1632.3654	75.38203	1741.634	1511.0027	53.89189	1000.0	54.0	1000.0	1000.0	91999	11350.231	21856.295	173344.42	-8095.4365	11349.907	21855.29	171814.08	-8261.757	100.06986	82.03415	1481.4435	11.388169	-11895.119	3723384.2	2613.411641359329
24	-152.24644	584.7721	-20.191431	-5033.9766	1595.7322	63.87246	1675.2423	1463.7493	-83.653336	43.704422	18.808647	-143.68721	1470.4768	70.969406	1574.5068	1316.3434	1614.0068	60.905964	1705.2994	1538.4283	56.71831	1000.0	53.1	1000.0	1000.0	95999	11308.194	23471.193	181848.4	-7545.206	11307.869	23470.135	180054.34	-8005.5737	112.13827	97.335846	1426.2902	11.522627	-11787.531	4087242.8	2726.5071823596954
25	-108.06161	38.96832	36.513405	-240.79643	1493.3679	61.643505	1618.0734	1414.4442	-95.17891	18.055029	-61.959755	-119.001495	1503.4252	45.354454	1555.0035	1446.61	1453.885	68.42925	1537.3937	1312.8678	47.285713	1000.0	50.0	1000.0	1000.0	99999	10917.969	24397.957	199500.98	-6877.5635	10917.723	24397.307	199955.78	-7323.6113	116.68589	106.33267	1438.6525	11.663586	-11364.121	3868484.5	2854.612480401993
26	-95.50463	32.64962	-26.07259	-157.31973	1562.6835	79.50626	1711.8577	1408.0299	-96.38161	26.523563	-54.333942	-145.95183	1491.928	39.545086	1572.6104	1456.7247	1501.8971	53.464455	1601.8673	1409.1307	54.89041	1000.0	41.9	1000.0	1000.0	103999	10531.627	25986.932	221140.94	-7036.7495	10531.637	25985.951	221753.47	-6812.627	109.64289	102.76704	1381.3475	11.775174	-10966.054	3374707.0	2967.5858714580536
27	-117.72688	53.90409	-23.353598	-336.19516	1444.7205	64.69255	1566.8962	1349.6871	-74.43314	10.237316	-58.10173	-89.2803	1541.3069	59.657536	1638.9019	1413.783	1505.838	80.87629	1672.3733	1384.1754	48.144577	1000.0	45.0	1000.0	1000.0	107999	10643.397	28669.91	247177.61	-10201.331	10643.014	28668.836	247191.38	-12687.131	107.26639	103.99479	1671.4723	15.102379	-11103.236	5022976.0	3081.4578256607056
28	-59.355785	35.65003	22.961876	-145.70065	1593.6843	101.72667	1689.9456	1338.4529	-73.88417	25.308228	-31.863712	-113.53896	1508.2275	63.88304	1665.623	1455.1014	1639.8635	97.08657	1790.0198	1461.9291	59.791046	1000.0	56.4	1000.0	1000.0	111999	11419.713	31114.84	271336.8	-8668.53	11419.076	31113.646	270448.7	-10688.125	105.81134	100.56043	1522.5062	14.315786	-11929.909	5307041.5	3196.4434266090393
29	-173.07364	813.2268	21.120253	-6623.3257	1542.3809	46.3072	1638.387	1494.3555	-77.328995	20.803755	-56.396736	-113.06864	1472.566	63.655315	1566.5154	1343.1575	1530.748	59.21583	1619.8757	1399.6006	62.640625	1000.0	48.2	1000.0	1000.0	115999	12789.904	34493.957	283258.84	-9513.62	12789.272	34492.383	284521.78	-9925.296	110.09502	104.45446	1835.3597	14.633688	-13308.816	7440505.0	3310.966685295105
30	-159.23393	438.61774	-29.075464	-3911.1328	1472.5624	64.730034	1552.9757	1340.4039	-118.00724	17.73911	-89.7507	-149.75226	1614.4475	77.493324	1716.045	1479.5612	1472.8552	46.032463	1573.143	1427.6558	53.32	1000.0	48.6	1000.0	1000.0	119999	13057.726	35085.086	289766.5	-9575.371	13056.65	35084.523	289239.75	-8662.767	117.13553	117.29456	2138.6743	15.352774	-13571.05	7423770.5	3424.2482359409332
31	-122.990234	38.55358	-22.534895	-239.72597	1590.8086	45.83945	1657.6925	1530.7444	-108.350266	20.748287	-66.542244	-144.14964	1544.4454	75.06287	1715.2119	1470.9752	1550.5054	97.34164	1735.0574	1385.4816	52.605263	1000.0	48.8	1000.0	1000.0	123999	13258.22	35358.64	289201.22	-9094.711	13257.239	35356.39	288886.56	-7848.855	120.38377	118.36759	1929.7933	19.720734	-13788.263	9409484.0	3538.0926513671875
32	-84.24837	41.271828	-11.303981	-204.93253	1594.6053	61.90663	1684.3519	1493.0079	-51.924244	15.459492	-32.604843	-87.30039	1520.9547	68.20745	1671.2075	1458.7518	1613.6246	99.03428	1786.2263	1449.367	57.913044	1000.0	55.1	1000.0	1000.0	127999	13388.321	37145.496	308871.9	-7240.781	13389.475	37143.016	308341.9	-7432.864	121.61613	119.0382	1941.7408	18.170471	-13943.036	9743968.0	3651.296434879303
